timestamp, callchains, power, resource_usage, gpu_power
0.100000, 0xffffffffffffff80;0xffffffff90c1f5c3;0xffffffff90c1f7f5;0xffffffff90c127b0;0xffffffff90fbb88e;0xffffffff90fc40bc;0xffffffff90fc433f;0xffffffff90fbafc6;0xffffffff90fb734c;0xffffffff90e3b3a9;0xffffffff90e3b763;0xffffffff90cade2c;0xffffffff91e97afb;0xffffffff92000f8b;0xffffffffc1c913ab;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffffc16b2967;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffffc11a4670;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffffc16b29fe;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffff90dace3b;0xffffffff91ea91ce;0xffffffffc11a4682;0xffffffffc1abda10;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffffc12c32e9;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffffc12c3280;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffff90dace3b;0xffffffff91ea91ce;0xffffffffc11a4682;0xffffffffc1abda10;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffffc16b2960;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffffc181c634;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffffc1ac0ff2;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffffc16b296d;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffffc1abbd40;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffffc11e77c6;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffff90ce28fa;0xffffffff90ce363f;0xffffffff90ce37b2;0xffffffff90ce3843;0xffffffffc11a2109;0xffffffffc1192db1;0xffffffffc1c90581;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffff90dac644;0xffffffff90dac714;0xffffffff91ea5007;0xffffffff91ea52ab;0xffffffffc11a2b51;0xffffffffc1abdc40;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffffc1ac84ff;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffff90d167ef;0xffffffff90d18ab2;0xffffffff90ce4dea;0xffffffff90ce54bb;0xffffffff90ce372f;0xffffffff90ce3843;0xffffffffc11a2109;0xffffffffc1192db1;0xffffffffc1c90581;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffff910bc217;0xffffffff91077111;0xffffffffc11a1faa;0xffffffffc1192db1;0xffffffffc1c90581;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffffc11bda78;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffffc1ac8530;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffff91090597;0xffffffff91b2c17d;0xffffffff91b33352;0xffffffff91ce6572;0xffffffff91ce681d;0xffffffff91b19dbe;0xffffffff91b1ca2b;0xffffffff91b1cb04;0xffffffff90c0c2ac;0xffffffff91e9124e;0xffffffff9200012b;0xfffffffffffffe00;__recv;0x7f7b6db02275;0x7f7b6db02a96;0x7f7b6db02ef0;xcb_wait_for_reply64;_XReply;0x7f7b6d2937c1;0x5572135d5b90;0x0;|0xffffffffffffff80;0xffffffffc1abd1bc;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffffc1c95ad6;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffffc12509a6;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffff90ce2ef5;0xffffffff90ce3230;0xffffffff90ce3617;0xffffffff90ce37b2;0xffffffff90ce3843;0xffffffffc11a2109;0xffffffffc1192db1;0xffffffffc1c90581;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffff9107bee4;0xffffffff9107c73f;0xffffffff9107d0ca;0xffffffff9107f684;0xffffffff91080dc4;0xffffffff91090ce7;0xffffffff91090ff8;0xffffffff9109162c;0xffffffff91094233;0xffffffffc11a3045;0xffffffffc1abd2b4;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffffc11e7790;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffff9106f848;0xffffffff91070062;0xffffffff9107074c;0xffffffff910707f9;0xffffffff90ce35ca;0xffffffff90ce37b2;0xffffffff90ce3843;0xffffffffc11a2109;0xffffffffc1192db1;0xffffffffc1c90581;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffff91080d78;0xffffffff910bc079;0xffffffff910bc21c;0xffffffff91077111;0xffffffffc11a1faa;0xffffffffc1192db1;0xffffffffc1c90581;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffff90e00b40;0xffffffff91e9125a;0xffffffff9200012b;0xfffffffffffffe00;__sched_yield;0x7f7b6bbf5360;0x5355f48949544155;|0xfffffffffffffe00;0x7f7b7ec70e36;clock_gettime@@GLIBC_2.17;0x7f7b6bbff224;clock_gettime@@GLIBC_2.17;0x7f7b6bbff2d9;0x7f7b6bbf5360;0x5355f48949544155;|0xfffffffffffffe00;__memset_avx2_unaligned_erms;|0xffffffffffffff80;0xffffffff9104e9ff;0xffffffff9104fd5d;0xffffffff910503af;0xffffffff91050609;0xffffffff90cdae22;0xffffffff91e984b5;0xffffffff92000bb7;0xfffffffffffffe00;__memcpy_avx_unaligned_erms;0x0;0x1;|0x1;0x58000200000001;0x30a2000030a2;0x7f7b666de000;0x4d5000;0xde000;0x62696c2f7273752f;0x2d34365f3638782f;0x6e672d78756e696c;0x64756362696c2f75;0x3035352e6f732e61;0x3032312e;0x18000000000002;0x23;0x7665d2d1b050;0x7665d2d50ef2;0x0;0x7665d2d4f040;0x16;0x0;0x0;0x0;0x0;0x0;0x7665d2d1b0a0;0x7665d2d50ef2;0x0;0x7665d2d4f057;0x1a;0x0;0x0;0x0;0x0;0x0;0x7665d2d1b0f0;|, 34.128940, 42.11, 15.014000
0.218000, 0xdb;0xc1;0x6d756d6978616d;0x0;0x0;0x0;0x0;0x0;0x0;0x0;0x650111f000000000;0x6003;0x0;0x0;0x654ea549f400;0x0;0x654ea549f080;0x0;0x0;0x0;0x0;0x0;0x0;0x0;0x0;0x21;0x4d0fddc0f99f8e3a;0xa65b68e77bddc707;0x67755abb9459;0xc1;0x0;0x0;0x0;0x0;0x0;|0xfffffffffffffe00;random;rand;_Z6myrandv;_Z13initParticlesP6float2ii;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xfffffffffffffe00;random;rand;_Z6myrandv;_Z13initParticlesP6float2ii;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xfffffffffffffe00;random;rand;_Z6myrandv;_Z13initParticlesP6float2ii;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xffffffffffffff80;0xffffffff917ad4f9;0xffffffff917adee2;0xffffffff917ae454;0xffffffff917c159e;0xffffffff917c1753;0xffffffff917c6b69;0xffffffff917c6d42;0xffffffff90dfa8bb;0xffffffffc04e2afd;0xffffffffc04e30f5;0xffffffffc04e35db;0xffffffff9140a5f0;0xffffffff9140b3a9;0xffffffff913f7edf;0xffffffff913f8150;0xffffffff9122700a;0xffffffff9122732e;0xffffffff9122a943;0xffffffff91247eec;0xffffffff91127662;0xffffffff9112c0b7;0xffffffff9112c2ef;0xffffffff9112e256;0xffffffff9112e560;0xffffffff91110463;0xffffffff91110a05;0xffffffff90c0c0ea;0xffffffff91e9124e;0xffffffff9200012b;0xfffffffffffffe00;__open;_IO_file_open;_IO_file_fopen@@GLIBC_2.2.5;fopen@@GLIBC_2.2.5;0x7f7b6676d44f;0x7f7b6676d683;0x7f7b66aced8f;0x7f7b6681e944;0x7f7b66840233;0x7f7b66754914;0x7f7b6688b55b;0x7f7b6df3fa81;0x7f7b6dee10dc;0x1;|0xfffffffffffffe00;0x7f7b66790ec8;0x7f7b668330ca;0x7f7b66983cee;0x7f7b6698588c;0x7f7b66ae26b9;0x7f7b66741496;0x7f7b66abd490;0x7f7b6673bad2;0x7f7b668eac4e;0x7f7b6df48a78;|0xfffffffffffffe00;0x7f7b66790ec8;0x7f7b668330ca;0x7f7b66983cee;0x7f7b6698588c;0x7f7b66ae26b9;0x7f7b66741496;0x7f7b66abd490;0x7f7b6673bad2;0x7f7b668eac4e;0x7f7b6df48a78;|0xfffffffffffffe00;0x7f7b66790ee4;0x7f7b668330ca;0x7f7b66983cee;0x7f7b6698588c;0x7f7b66ae26b9;0x7f7b66741496;0x7f7b66abd490;0x7f7b6673bad2;0x7f7b668eac4e;0x7f7b6df48a78;|0xffffffffffffff80;0xffffffff91065af3;0xffffffff91065c17;0xffffffff9104fbd8;0xffffffff910503af;0xffffffff91050609;0xffffffff90cdae22;0xffffffff91e984b5;0xffffffff92000bb7;0xfffffffffffffe00;0x7f7b66790ec4;0x7f7b668330ca;0x7f7b66983cee;0x7f7b6698588c;0x7f7b66ae26b9;0x7f7b66741496;0x7f7b66abd490;0x7f7b6673bad2;0x7f7b668eac4e;0x7f7b6df48a78;|0xfffffffffffffe00;0x7f7b66790ec8;0x7f7b668330ca;0x7f7b66983cee;0x7f7b6698588c;0x7f7b66ae26b9;0x7f7b66741496;0x7f7b66abd490;0x7f7b6673bad2;0x7f7b668eac4e;0x7f7b6df48a78;|0xffffffffffffff80;0xffffffff91093f0e;0xffffffff90fe57e5;0xffffffff90fe5a70;0xffffffffc04e275e;0xffffffffc04e30f5;0xffffffffc04e35db;0xffffffff9140a5f0;0xffffffff9140b3a9;0xffffffff913f7edf;0xffffffff913f8150;0xffffffff9122700a;0xffffffff9122732e;0xffffffff9122a943;0xffffffff91247eec;0xffffffff91127662;0xffffffff9112c0b7;0xffffffff9112c2ef;0xffffffff9112e256;0xffffffff9112e560;0xffffffff91110463;0xffffffff91110a05;0xffffffff90c0c0ea;0xffffffff91e9124e;0xffffffff9200012b;0xfffffffffffffe00;__open;_IO_file_open;_IO_file_fopen@@GLIBC_2.2.5;fopen@@GLIBC_2.2.5;0x7f7b6676d44f;0x7f7b6676d683;0x7f7b66aced8f;0x7f7b6681e944;0x7f7b66840233;0x7f7b66754914;0x7f7b6688b55b;0x7f7b6df3fa81;0x7f7b6dee10dc;0x1;|0xffffffffffffff80;0xffffffff910ed085;0xffffffff910ed996;0xffffffff90fde4b4;0xffffffff90fde76c;0xffffffff90fe3438;0xffffffff9117a28c;0xffffffff9117a479;0xffffffff9126c661;0xffffffff91227220;0xffffffff9122732e;0xffffffff9122a943;0xffffffff91247eec;0xffffffff91127662;0xffffffff9112c0b7;0xffffffff9112c2ef;0xffffffff9112e256;0xffffffff9112e560;0xffffffff91110463;0xffffffff91110a05;0xffffffff90c0c0ea;0xffffffff91e9124e;0xffffffff9200012b;0xfffffffffffffe00;__open;_IO_file_open;_IO_file_fopen@@GLIBC_2.2.5;fopen@@GLIBC_2.2.5;0x7f7b6676d44f;0x7f7b6676d683;0x7f7b66aced8f;0x7f7b6681e944;0x7f7b66840233;0x7f7b66754914;0x7f7b6688b55b;0x7f7b6df3fa81;0x7f7b6dee10dc;0x1;|0xffffffffffffff80;0xffffffff91ea99f7;0xffffffff9104ea7a;0xffffffff9104fd5d;0xffffffff910503af;0xffffffff91050609;0xffffffff90cdae22;0xffffffff91e984b5;0xffffffff92000bb7;0xfffffffffffffe00;__memcpy_avx_unaligned_erms;0x4723000;|0xffffffffffffff80;0xffffffff91e14b87;0xffffffff9107f6a1;0xffffffff91080dc4;0xffffffff910bc079;0xffffffff910bc21c;0xffffffff91077111;0xffffffffc11a1faa;0xffffffffc1192db1;0xffffffffc1c90581;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffff91041330;0xffffffff9104bc60;0xffffffff9104bdee;0xffffffffc119c1b1;0xffffffffc119c96f;0xffffffff9105bb23;0xffffffff9105c6ab;0xffffffff910184c0;0xffffffff9105878a;0xffffffff90c66713;0xffffffff90c0bd84;0xffffffff91e9124e;0xffffffff9200012b;0xfffffffffffffe00;__mmap;0x7f7b6c1e469b;|0xffffffffffffff80;0xffffffff91ea920b;0xffffffff9107f684;0xffffffff91080dc4;0xffffffff910bc079;0xffffffff910bc305;0xffffffff90fdd663;0xffffffff90ff0a3c;0xffffffff90ff10e0;0xffffffff90fdf29c;0xffffffff90fe3d6b;0xffffffff91049cea;0xffffffff9104a910;0xffffffff9104acd8;0xffffffff9104fcc6;0xffffffff910503af;0xffffffff91050609;0xffffffff90cdae22;0xffffffff91e984b5;0xffffffff92000bb7;0xfffffffffffffe00;0x7f7b66a9bd79;0x7f7b6681e414;0x7f7b66acec3b;0x7f7b6681e944;0x7f7b6682f37c;0x7f7b6682ffdc;0x7f7b6688e14d;libcudart_static_75850eae7f28cc1e55e9fe1048eae31a136b4f28;libcudart_static_f819957d10e6023af1d90b177e9706eb1ae2ea98;0x3145ed3145535441;|0xffffffffffffff80;0xffffffff91378e71;0xffffffff913922d2;0xffffffff91392758;0xffffffff91392dbf;0xffffffff9138e18d;0xffffffff9138e307;0xffffffff9131820c;0xffffffff9111d94c;0xffffffff9111dafe;0xffffffff9111db65;0xffffffff90c0bcfd;0xffffffff91e9124e;0xffffffff9200012b;0xfffffffffffffe00;__fstat64;_IO_doallocbuf;_IO_file_xsgetn;_IO_fread;0x7f7b6b770d1f;0x7f7b6cff5998;0x7f7b6b75a210;0x900000000000841f;|0xffffffffffffff80;0xffffffff9149f579;0xffffffff9111ce62;0xffffffff9111def4;0xffffffff9111df56;0xffffffff90c0b0f2;0xffffffff91e9124e;0xffffffff9200012b;0xfffffffffffffe00;__xstat64;0x8000;|0xffffffffffffff80;0xffffffff911170f1;0xffffffff9112e216;0xffffffff9112e560;0xffffffff91110463;0xffffffff91110a05;0xffffffff90c0c0ea;0xffffffff91e9124e;0xffffffff9200012b;0xfffffffffffffe00;__open;_IO_file_open;_IO_file_fopen@@GLIBC_2.2.5;fopen@@GLIBC_2.2.5;0x7f7b6bbf4538;0x7f7b6bbf5360;0x5355f48949544155;|0xffffffffffffff80;0xffffffff91e99f4a;0xffffffff91151508;0xffffffff91152c3e;0xffffffff911e9a28;0xffffffff9115246f;0xffffffff911dbb6f;0xffffffff91114b7b;0xffffffff91115a43;0xffffffff91115af9;0xffffffff90c0b8f2;0xffffffff91e9124e;0xffffffff9200012b;0xfffffffffffffe00;read;_IO_file_underflow@@GLIBC_2.2.5;__getdelim;0x7f7b6bbf4597;0x557213befe90;|, 23.196924, 20.00, 20.447000
0.334000, 0xffffffffffffff80;0xffffffff91080dbf;0xffffffff910bc079;0xffffffff910bc21c;0xffffffff91077111;0xffffffffc11a1faa;0xffffffffc1192db1;0xffffffffc1c90581;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffff91092cc7;0xffffffffc11946d3;0xffffffff91133a20;0xffffffff90c0af8d;0xffffffff91e9124e;0xffffffff9200012b;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|, 18.840871, 0.00, 28.799000
0.435000, 0xfffffffffffffe00;__glDispatchCheckMultithreaded;glXSwapBuffers;glutSwapBuffers;_Z7displayv;fghRedrawWindow;0x7f7b7eb3b099;fgEnumWindows;glutMainLoopEvent;glutMainLoop;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xfffffffffffffe00;0x7f7b6bd76448;0xbeef0100;|, 17.090406, 0.00, 33.519000
0.545000, 0xfffffffffffffe00;0x7f7b66aeb91e;0x7f7b66a20c0e;0x7f7b66a217e7;0x7f7b66ae5a50;0x7f7b6672e455;0x7f7b6672ecc8;0x7f7b667358bf;0x7f7b668f25f0;libcudart_static_4d8b33a106dceb3c07a56e26de61f2d53bb62a68;cudaLaunchKernel;_Z16cudaLaunchKernelIcE9cudaErrorPT_4dim3S3_PPvmP11CUstream_st;_Z53__device_stub__Z16advectVelocity_kP6float2PfS1_iiifiyP6float2PfS1_iiifiy;_Z16advectVelocity_kP6float2PfS1_iiifiy;advectVelocity;_Z14simulateFluidsv;_Z7displayv;fghRedrawWindow;0x7f7b7eb3b099;fgEnumWindows;glutMainLoopEvent;glutMainLoop;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|, 14.134045, 16.67, 38.201000
0.647000, 0xfffffffffffffe00;libcudart_static_19d132c815f85334ee1756d16281ce95ea02e148;libcudart_static_bf75d3fb4d1836f42a3c2a8a3f9a215f76cf2991;libcudart_static_642809c0e3b0cd78d04be00765ab15fce143776f;cudaGraphicsUnmapResources;advectParticles;_Z14simulateFluidsv;_Z7displayv;fghRedrawWindow;0x7f7b7eb3b099;fgEnumWindows;glutMainLoopEvent;glutMainLoop;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xffffffffffffff80;0xffffffff90d7139e;0xffffffff90d719c6;0xffffffff90d7dba7;0xffffffff90d7dfa8;0xffffffff90d6018f;0xffffffff91ea068e;0xffffffff91ea0c59;0xffffffff91ea7c09;0xffffffff91ea7cb3;0xffffffff911369c7;0xffffffff91136c07;0xffffffff91137697;0xffffffff90c0b317;0xffffffff91e9124e;0xffffffff9200012b;0xfffffffffffffe00;__poll;0x7f7b6bc0794f;|, 14.184647, 20.00, 42.857000
0.750000, 0xffffffffffffff80;0xffffffff90c6c7f0;0xffffffff911353bf;0xffffffff9113671d;0xffffffff91136c07;0xffffffff91137697;0xffffffff90c0b317;0xffffffff91e9124e;0xffffffff9200012b;0xfffffffffffffe00;__poll;0x7f7b6bc0794f;|0xfffffffffffffe00;0x7f7b66ae8c2f;0x7f7b66735847;0x7f7b668f25f0;0x7f7b6def6019;|0xffffffffffffff80;0xffffffff90d167ef;0xffffffff90d18ab2;0xffffffff90ce4dea;0xffffffff90ce54bb;0xffffffff90ce372f;0xffffffff90ce3843;0xffffffffc11a2109;0xffffffffc1192db1;0xffffffffc1c90581;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffff91ea99f7;0xffffffff9104bc7f;0xffffffff9104bdee;0xffffffffc119c1b1;0xffffffffc119c96f;0xffffffff9105bb23;0xffffffff9105c6ab;0xffffffff910184c0;0xffffffff9105878a;0xffffffff90c66713;0xffffffff90c0bd84;0xffffffff91e9124e;0xffffffff9200012b;0xfffffffffffffe00;__mmap;0x7f7b6c1e469b;|0xffffffffffffff80;0xffffffff90de8d84;0xffffffff90d5d4bf;0xffffffff91ea07f1;0xffffffff91ea0c59;0xffffffff91ea7c09;0xffffffff91ea7cb3;0xffffffff911369c7;0xffffffff91136c07;0xffffffff91137697;0xffffffff90c0b317;0xffffffff91e9124e;0xffffffff9200012b;0xfffffffffffffe00;__poll;0x7f7b6bc0794f;|, 15.386155, 0.00, 47.712000
0.853000, 0xfffffffffffffe00;0x7f7b667040e6;0x7f7b66ae5f95;0x7f7b6672e455;0x7f7b6672ecc8;0x7f7b667358bf;0x7f7b668f25f0;0x7f7b6def6019;|0xfffffffffffffe00;0x7f7b66845e63;0x7f7b667013e1;0x7f7b6682523e;0x7f7b66ae4a54;0x7f7b6690db33;0x7f7b66955324;0x7f7b66834414;0x7f7b66ae2c1e;0x7f7b66741496;0x7f7b66abd490;0x7f7b66747aa2;0x7f7b668ebc38;libcudart_static_62bf97ede6676c12dc2198cbd9638c874b553f59;libcudart_static_666f2d04e6264b1aad89e7e6c70f2a00ab426468;libcudart_static_c7069eb0f366e48aabf6523aac98ec66807a66e1;libcudart_static_68127101e2d01f85b0c24511433a58184b030ca4;cudaMemcpy2DToArray;_Z13updateTextureP6float2mmm;advectVelocity;_Z14simulateFluidsv;_Z7displayv;fghRedrawWindow;0x7f7b7eb3b099;fgEnumWindows;glutMainLoopEvent;glutMainLoop;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xffffffffffffff80;0xffffffff9111c9b5;0xffffffff9111d962;0xffffffff9111dafe;0xffffffff9111db65;0xffffffff90c0bcfd;0xffffffff91e9124e;0xffffffff9200012b;0xfffffffffffffe00;__fstat64;_IO_doallocbuf;_IO_file_underflow@@GLIBC_2.2.5;__getdelim;0x7f7b6bbf4597;0x0;|0xffffffffffffff80;0xffffffff910bc5f4;0xffffffff9104e9f0;0xffffffff9104fd5d;0xffffffff910503af;0xffffffff91050609;0xffffffff90cdae22;0xffffffff91e984b5;0xffffffff92000bb7;0xfffffffffffffe00;0x7f7b6bd9b506;0x0;|, 15.450748, 0.00, 52.636000
0.957000, 0xfffffffffffffe00;pthread_mutex_unlock@@GLIBC_2.2.5;0x7f7b66a213cc;0x7f7b66ae627c;0x7f7b6690db33;0x7f7b66955324;0x7f7b66834414;0x7f7b66ae2c1e;0x7f7b66741496;0x7f7b66abd490;0x7f7b66747aa2;0x7f7b668ebc38;libcudart_static_62bf97ede6676c12dc2198cbd9638c874b553f59;libcudart_static_666f2d04e6264b1aad89e7e6c70f2a00ab426468;libcudart_static_c7069eb0f366e48aabf6523aac98ec66807a66e1;libcudart_static_68127101e2d01f85b0c24511433a58184b030ca4;cudaMemcpy2DToArray;_Z13updateTextureP6float2mmm;advectVelocity;_Z14simulateFluidsv;_Z7displayv;fghRedrawWindow;0x7f7b7eb3b099;fgEnumWindows;glutMainLoopEvent;glutMainLoop;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xffffffffffffff80;0xffffffff91116b9a;0xffffffff91136c07;0xffffffff91137697;0xffffffff90c0b317;0xffffffff91e9124e;0xffffffff9200012b;0xfffffffffffffe00;__poll;0x7f7b6d299694;0x5572135d5b90;0x0;|0xffffffffffffff80;0xffffffff910af3ad;0xffffffff911ea302;0xffffffff9115246f;0xffffffff911dbb6f;0xffffffff91114b7b;0xffffffff91115a43;0xffffffff91115af9;0xffffffff90c0b8f2;0xffffffff91e9124e;0xffffffff9200012b;0xfffffffffffffe00;read;_IO_file_underflow@@GLIBC_2.2.5;__getdelim;0x7f7b6bbf4597;0x557213befe90;|0xffffffffffffff80;0xffffffff9106fc73;0xffffffff91070062;0xffffffff9107074c;0xffffffff910707f9;0xffffffff90ce3f22;0xffffffffc11a2434;0xffffffffc1192f46;0xffffffffc1c90690;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xffffffffffffff80;0xffffffff91046c88;0xffffffff910475ae;0xffffffff91047de0;0xffffffff910484b3;0xffffffff91048779;0xffffffff91048db5;0xffffffff91056008;0xffffffff91056ed8;0xffffffff9105982c;0xffffffff9105998a;0xffffffff91059abb;0xffffffff90c0bc85;0xffffffff91e9124e;0xffffffff9200012b;0xfffffffffffffe00;__munmap;0x100000;|0xffffffffffffff80;0xffffffff90cd48a4;0xffffffff90ce3312;0xffffffff90ce327c;0xffffffff90ce3f62;0xffffffffc11a2434;0xffffffffc1192f46;0xffffffffc1c90690;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|, 16.924885, 0.00, 57.582000
1.062000, 0xffffffffffffff80;0xffffffffc1abd11e;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|0xfffffffffffffe00;0x7f7b667f0e1f;0x7f7b6672eadc;0x7f7b667358bf;0x7f7b668f25f0;0x7f7b6def6019;|0xffffffffffffff80;0xffffffff91151495;0xffffffff91151508;0xffffffff91152c3e;0xffffffff911e9c23;0xffffffff9115246f;0xffffffff911dbb6f;0xffffffff91114b7b;0xffffffff91115a43;0xffffffff91115af9;0xffffffff90c0b8f2;0xffffffff91e9124e;0xffffffff9200012b;0xfffffffffffffe00;read;_IO_file_underflow@@GLIBC_2.2.5;__getdelim;0x7f7b6bbf4597;0x557213befe90;|0xfffffffffffffe00;0x7f7b66a21829;0x7f7b66ae5a50;0x7f7b6672e455;0x7f7b6672ecc8;0x7f7b667358bf;0x7f7b668f25f0;0x7f7b6def6019;|0xffffffffffffff80;0xffffffffc1c8ff8c;0xfffffffffffffe00;ioctl;0x7f7b6c100930;|, 17.536810, 16.67, 62.300000
