timestamp, callchains, power, resource_usage, gpu_power
2025-11-25T20:16:11.426411Z, 0xffffffffffffff80;0xffffffffc175368a;0xffffffffc1755710;0xffffffffc1880ded;0xffffffffc18931bf;0xffffffffc18770e7;0xffffffffc18d5e06;0xffffffffc18dcb1e;0xffffffffc1858482;0xffffffffc1858ed9;0xffffffffc18590df;0xffffffffc185b2fd;0xffffffffc16444fb;0xffffffffc164c746;0xffffffffc15116b9;0xffffffffbb1dde74;0xffffffffbac83f9e;0xffffffffbbed678e;0xffffffffbaa0012b;0xfffffffffffffe00;ioctl;0x724fcfe8e028;0x724fcfe981fc;0x724fcfe7635a;0x724fd0975482;0x724fd097db57;0x724fd099c1bf;0x724fcfcc1293;0x724fd09565ce;0x724fcfcd4bde;0x724fcfd146d2;cuInit;init();_dl_init;_dl_start_user;|0xffffffffffffff80;0xffffffffc1523e2a;0xffffffffc168472c;0xffffffffc172bd7e;0xffffffffc17556f8;0xffffffffc1880ded;0xffffffffc1893554;0xffffffffc16da940;0xffffffffc1543fa2;0xffffffffc18cf78a;0xffffffffc184f0c7;0xffffffffc18d4a7a;0xffffffffc184e25b;0xffffffffc18d8284;0xffffffffc184ed70;0xffffffffc184f2d5;0xffffffffc184eb2a;0xffffffffc18701b5;0xffffffffc152d192;0xffffffffc2ae77cc;0xffffffffc2aedef0;0xffffffffc2ae92b3;0xffffffffc2ad0867;0xffffffffc2ad14cb;0xffffffffc2ad15ba;0xffffffffbb1dde74;0xffffffffbac83f9e;0xffffffffbbed678e;0xffffffffbaa0012b;0xfffffffffffffe00;ioctl;0x724fcfe54704;0x724fcfd227b2;0x724fcfcfcafd;0x724fcfcd58f8;0x724fcfd146d2;cuInit;init();_dl_init;_dl_start_user;|0xffffffffffffff80;0xffffffffc1761b66;0xffffffffc16e7ae2;0xffffffffc17558db;0xffffffffc1880ded;0xffffffffc18931bf;0xffffffffc17deb08;0xffffffffc17df807;0xffffffffc17dc08f;0xffffffffc18d5ed9;0xffffffffc18dcb1e;0xffffffffc1858482;0xffffffffc1858ed9;0xffffffffc18590df;0xffffffffc1858e44;0xffffffffc186472f;0xffffffffc1870a37;0xffffffffc152d192;0xffffffffc2ae77cc;0xffffffffc2aedef0;0xffffffffc2ae92b3;0xffffffffc2ad0867;0xffffffffc2ad14cb;0xffffffffc2ad15ba;0xffffffffbb1dde74;0xffffffffbac83f9e;0xffffffffbbed678e;0xffffffffbaa0012b;0xfffffffffffffe00;ioctl;0x724fcfe54704;0x724fcfd227b2;0x724fcfcfcafd;0x724fcfcd58f8;0x724fcfd146d2;cuInit;init();_dl_init;_dl_start_user;|, 40.180851, 57.14, 23.528000
2025-11-25T20:16:11.432181Z, 0xffffffffffffff80;0xffffffffc1780550;0xffffffffc1782c31;0xffffffffc178453a;0xffffffffc1785112;0xffffffffc17d1b4e;0xffffffffc17d1d36;0xffffffffc17d46bb;0xffffffffc158a164;0xffffffffc158a2f1;0xffffffffc18cf78a;0xffffffffc184f0c7;0xffffffffc18d4a7a;0xffffffffc184e25b;0xffffffffc18d8284;0xffffffffc184ed70;0xffffffffc184f2d5;0xffffffffc184eb2a;0xffffffffc18723b7;0xffffffffc152fd13;0xffffffffc2b2efb8;0xffffffffc2ae9b69;0xffffffffc2ae5dca;0xffffffffc2ae7837;0xffffffffc2aedef0;0xffffffffc2ae92b3;0xffffffffc2ad0867;0xffffffffc2ad14cb;0xffffffffc2ad15ba;0xffffffffbb1dde74;0xffffffffbac83f9e;0xffffffffbbed678e;0xffffffffbaa0012b;0xfffffffffffffe00;ioctl;0x724fcfe54704;0x724fcfd227b2;0x724fcfcfcafd;0x724fcfcd58f8;0x724fcfd146d2;cuInit;init();_dl_init;_dl_start_user;|, 30.826394, 200.00, 23.528000
2025-11-25T20:16:11.437948Z, 0xffffffffffffff80;0xffffffffc1648304;0xffffffffc172397f;0xffffffffc17614ae;0xffffffffc1761b80;0xffffffffc16e7ae2;0xffffffffc17558db;0xffffffffc1880ded;0xffffffffc18931bf;0xffffffffc17d1e7c;0xffffffffc17d46bb;0xffffffffc158a164;0xffffffffc158a2f1;0xffffffffc18cf78a;0xffffffffc184f0c7;0xffffffffc18d4a7a;0xffffffffc184e25b;0xffffffffc18d8284;0xffffffffc184ed70;0xffffffffc184f2d5;0xffffffffc184eb2a;0xffffffffc18723b7;0xffffffffc152fd13;0xffffffffc2b2efb8;0xffffffffc2ae9b69;0xffffffffc2ae5dca;0xffffffffc2ae7837;0xffffffffc2aedef0;0xffffffffc2ae92b3;0xffffffffc2ad0867;0xffffffffc2ad14cb;0xffffffffc2ad15ba;0xffffffffbb1dde74;0xffffffffbac83f9e;0xffffffffbbed678e;0xffffffffbaa0012b;0xfffffffffffffe00;ioctl;0x724fcfe54704;0x724fcfd227b2;0x724fcfcfcafd;0x724fcfcd58f8;0x724fcfd146d2;cuInit;init();_dl_init;_dl_start_user;|, 25.888408, 500.00, 23.528000
2025-11-25T20:16:11.443240Z, , 21.501379, 600.00, 23.528000
2025-11-25T20:16:11.448970Z, 0xffffffffffffff80;0xffffffffc1753640;0xffffffffc1880ded;0xffffffffc18931bf;0xffffffffc17d2363;0xffffffffc17d291c;0xffffffffc17d4afd;0xffffffffc18d5ed9;0xffffffffc18dcb1e;0xffffffffc1858482;0xffffffffc1858ed9;0xffffffffc18590df;0xffffffffc1858e44;0xffffffffc18724ef;0xffffffffc152fd13;0xffffffffc2b2efb8;0xffffffffc2ae9b69;0xffffffffc2ae5dca;0xffffffffc2ae7837;0xffffffffc2aedef0;0xffffffffc2ae92b3;0xffffffffc2ad0867;0xffffffffc2ad14cb;0xffffffffc2ad15ba;0xffffffffbb1dde74;0xffffffffbac83f9e;0xffffffffbbed678e;0xffffffffbaa0012b;0xfffffffffffffe00;ioctl;0x724fcfe54704;0x724fcfd227b2;0x724fcfcfcafd;0x724fcfcd58f8;0x724fcfd146d2;cuInit;init();_dl_init;_dl_start_user;|, 20.986763, 0.00, 23.528000
2025-11-25T20:16:11.454191Z, , 23.026817, 100.00, 23.528000
2025-11-25T20:16:11.459909Z, 0xffffffffffffff80;0xffffffffc164832a;0xffffffffc172397f;0xffffffffc17614ae;0xffffffffc1761b80;0xffffffffc16e7ae2;0xffffffffc17558db;0xffffffffc1880ded;0xffffffffc18931bf;0xffffffffc17d2363;0xffffffffc17d291c;0xffffffffc17d4afd;0xffffffffc18d5ed9;0xffffffffc18dcb1e;0xffffffffc1858482;0xffffffffc1858ed9;0xffffffffc18590df;0xffffffffc1858e44;0xffffffffc18724ef;0xffffffffc152fd13;0xffffffffc2b2efb8;0xffffffffc2ae9b69;0xffffffffc2ae5dca;0xffffffffc2ae7837;0xffffffffc2aedef0;0xffffffffc2ae92b3;0xffffffffc2ad0867;0xffffffffc2ad14cb;0xffffffffc2ad15ba;0xffffffffbb1dde74;0xffffffffbac83f9e;0xffffffffbbed678e;0xffffffffbaa0012b;0xfffffffffffffe00;ioctl;0x724fcfe54704;0x724fcfd227b2;0x724fcfcfcafd;0x724fcfcd58f8;0x724fcfd146d2;cuInit;init();_dl_init;_dl_start_user;|, 25.541841, 100.00, 23.528000
2025-11-25T20:16:11.465591Z, 0xffffffffffffff80;0xffffffffc171e0eb;0xffffffffc1753676;0xffffffffc1755710;0xffffffffc1880ded;0xffffffffc18931bf;0xffffffffc17d2363;0xffffffffc17d291c;0xffffffffc17d4afd;0xffffffffc18d5ed9;0xffffffffc18dcb1e;0xffffffffc1858482;0xffffffffc1858ed9;0xffffffffc18590df;0xffffffffc1858e44;0xffffffffc18724ef;0xffffffffc152fd13;0xffffffffc2b2efb8;0xffffffffc2ae9b69;0xffffffffc2ae5dca;0xffffffffc2ae7837;0xffffffffc2aedef0;0xffffffffc2ae92b3;0xffffffffc2ad0867;0xffffffffc2ad14cb;0xffffffffc2ad15ba;0xffffffffbb1dde74;0xffffffffbac83f9e;0xffffffffbbed678e;0xffffffffbaa0012b;0xfffffffffffffe00;ioctl;0x724fcfe54704;0x724fcfd227b2;0x724fcfcfcafd;0x724fcfcd58f8;0x724fcfd146d2;cuInit;init();_dl_init;_dl_start_user;|, 20.543221, 0.00, 23.528000
2025-11-25T20:16:11.470801Z, , 22.823391, 0.00, 23.528000
2025-11-25T20:16:11.476402Z, 0xffffffffffffff80;0xffffffffbae398d0;0xffffffffc1525602;0xffffffffc18d1018;0xffffffffc1684289;0xffffffffc168471c;0xffffffffc172bd7e;0xffffffffc17556f8;0xffffffffc1880ded;0xffffffffc18931bf;0xffffffffc17d2363;0xffffffffc17d291c;0xffffffffc17d4afd;0xffffffffc18d5ed9;0xffffffffc18dcb1e;0xffffffffc1858482;0xffffffffc1858ed9;0xffffffffc18590df;0xffffffffc1858e44;0xffffffffc18724ef;0xffffffffc152fd13;0xffffffffc2b2efb8;0xffffffffc2ae9b69;0xffffffffc2ae5dca;0xffffffffc2ae7837;0xffffffffc2aedef0;0xffffffffc2ae92b3;0xffffffffc2ad0867;0xffffffffc2ad14cb;0xffffffffc2ad15ba;0xffffffffbb1dde74;0xffffffffbac83f9e;0xffffffffbbed678e;0xffffffffbaa0012b;0xfffffffffffffe00;ioctl;0x724fcfe54704;0x724fcfd227b2;0x724fcfcfcafd;0x724fcfcd58f8;0x724fcfd146d2;cuInit;init();_dl_init;_dl_start_user;|, 22.909772, 0.00, 23.528000
