timestamp, callchains, power, resource_usage, gpu_power
2025-11-25T20:13:17.743598Z, 0xffffffffffffff80;0xffffffffc17614a2;0xffffffffc1761b80;0xffffffffc16e7ae2;0xffffffffc17558db;0xffffffffc1880ded;0xffffffffc18931bf;0xffffffffc17d2363;0xffffffffc17d291c;0xffffffffc17d4afd;0xffffffffc18d5ed9;0xffffffffc18dcb1e;0xffffffffc1858482;0xffffffffc1858ed9;0xffffffffc18590df;0xffffffffc1858e44;0xffffffffc18724ef;0xffffffffc152fd13;0xffffffffc2b2efb8;0xffffffffc2ae9b69;0xffffffffc2ae5dca;0xffffffffc2ae7837;0xffffffffc2aedef0;0xffffffffc2ae92b3;0xffffffffc2ad0867;0xffffffffc2ad14cb;0xffffffffc2ad15ba;0xffffffffbb1dde74;0xffffffffbac83f9e;0xffffffffbbed678e;0xffffffffbaa0012b;0xfffffffffffffe00;ioctl;0x707d88c54704;0x707d88b227b2;0x707d88afcafd;0x707d88ad58f8;0x707d88b146d2;cuInit;init();_dl_init;_dl_start_user;|0xffffffffffffff80;0xffffffffc18ce760;0xffffffffc16e7ae2;0xffffffffc17558db;0xffffffffc1880ded;0xffffffffc18931bf;0xffffffffc17d2363;0xffffffffc17d291c;0xffffffffc17d4afd;0xffffffffc18d5ed9;0xffffffffc18dcb1e;0xffffffffc1858482;0xffffffffc1858ed9;0xffffffffc18590df;0xffffffffc1858e44;0xffffffffc18724ef;0xffffffffc152fd13;0xffffffffc2b2efb8;0xffffffffc2ae9b69;0xffffffffc2ae5dca;0xffffffffc2ae7837;0xffffffffc2aedef0;0xffffffffc2ae92b3;0xffffffffc2ad0867;0xffffffffc2ad14cb;0xffffffffc2ad15ba;0xffffffffbb1dde74;0xffffffffbac83f9e;0xffffffffbbed678e;0xffffffffbaa0012b;0xfffffffffffffe00;ioctl;0x707d88c54704;0x707d88b227b2;0x707d88afcafd;0x707d88ad58f8;0x707d88b146d2;cuInit;init();_dl_init;_dl_start_user;|0xffffffffffffff80;0xffffffffc164832a;0xffffffffc172397f;0xffffffffc18b210f;0xffffffffc18b21c8;0xffffffffc174c8cf;0xffffffffc1753836;0xffffffffc1755710;0xffffffffc1880ded;0xffffffffc18931bf;0xffffffffc17d2363;0xffffffffc17d291c;0xffffffffc17d4afd;0xffffffffc18d5ed9;0xffffffffc18dcb1e;0xffffffffc1858482;0xffffffffc1858ed9;0xffffffffc18590df;0xffffffffc1858e44;0xffffffffc18724ef;0xffffffffc152fd13;0xffffffffc2b2efb8;0xffffffffc2ae9b69;0xffffffffc2ae5dca;0xffffffffc2ae7837;0xffffffffc2aedef0;0xffffffffc2ae92b3;0xffffffffc2ad0867;0xffffffffc2ad14cb;0xffffffffc2ad15ba;0xffffffffbb1dde74;0xffffffffbac83f9e;0xffffffffbbed678e;0xffffffffbaa0012b;0xfffffffffffffe00;ioctl;0x707d88c54704;0x707d88b227b2;0x707d88afcafd;0x707d88ad58f8;0x707d88b146d2;cuInit;init();_dl_init;_dl_start_user;|0xffffffffffffff80;0xffffffffc1723dc3;0xffffffffc17228ce;0xffffffffc172390f;0xffffffffc17614ae;0xffffffffc1761b80;0xffffffffc16e7ae2;0xffffffffc17558db;0xffffffffc1880ded;0xffffffffc18931bf;0xffffffffc1818227;0xffffffffc1818a59;0xffffffffc18198f4;0xffffffffc18325df;0xffffffffc17a48cc;0xffffffffc159e1d8;0xffffffffc18cf78a;0xffffffffc184f0c7;0xffffffffc18d4a7a;0xffffffffc184e25b;0xffffffffc18d8284;0xffffffffc184ed70;0xffffffffc184f2d5;0xffffffffc184eb2a;0xffffffffc186b431;0xffffffffc152e50c;0xffffffffc2aded1f;0xffffffffc2ae5179;0xffffffffc2ae7837;0xffffffffc2aedef0;0xffffffffc2ae92b3;0xffffffffc2ad0867;0xffffffffc2ad14cb;0xffffffffc2ad15ba;0xffffffffbb1dde74;0xffffffffbac83f9e;0xffffffffbbed678e;0xffffffffbaa0012b;0xfffffffffffffe00;ioctl;0x707d88c54704;0x707d88b227b2;0x707d88afcafd;0x707d88ad58f8;0x707d88b146d2;cuInit;init();_dl_init;_dl_start_user;|0xffffffffffffff80;0xffffffffc17614a2;0xffffffffc1761b80;0xffffffffc16e7ae2;0xffffffffc17558db;0xffffffffc1880ded;0xffffffffc18931bf;0xffffffffc16ca901;0xffffffffc17f9cea;0xffffffffc17fa059;0xffffffffc18d5ed9;0xffffffffc18dcb1e;0xffffffffc18584d4;0xffffffffc1858ed9;0xffffffffc1858e44;0xffffffffc186f965;0xffffffffc152ca7a;0xffffffffc2aff663;0xffffffffc2ae5350;0xffffffffc2ae7837;0xffffffffc2aedef0;0xffffffffc2ae92b3;0xffffffffc2ad0867;0xffffffffc2ad14cb;0xffffffffc2ad15ba;0xffffffffbb1dde74;0xffffffffbac83f9e;0xffffffffbbed678e;0xffffffffbaa0012b;0xfffffffffffffe00;ioctl;0x707d88c54704;0x707d88b227b2;0x707d88afcafd;0x707d88ad58f8;0x707d88b146d2;cuInit;init();_dl_init;_dl_start_user;|0xffffffffffffff80;0xffffffffc164832a;0xffffffffc172397f;0xffffffffc17614ae;0xffffffffc1761b80;0xffffffffc16e7ae2;0xffffffffc17558db;0xffffffffc1880ded;0xffffffffc1893554;0xffffffffc1700f9a;0xffffffffc17049a1;0xffffffffc156d36c;0xffffffffc156d562;0xffffffffc18cf78a;0xffffffffc184f0c7;0xffffffffc18d4a7a;0xffffffffc184e25b;0xffffffffc18d8284;0xffffffffc184ed70;0xffffffffc184f2d5;0xffffffffc184eb2a;0xffffffffc186ea6f;0xffffffffc152d8ca;0xffffffffc2afd632;0xffffffffc2affc93;0xffffffffc2ae5350;0xffffffffc2ae7837;0xffffffffc2aedef0;0xffffffffc2ae92b3;0xffffffffc2ad0867;0xffffffffc2ad14cb;0xffffffffc2ad15ba;0xffffffffbb1dde74;0xffffffffbac83f9e;0xffffffffbbed678e;0xffffffffbaa0012b;0xfffffffffffffe00;ioctl;0x707d88c54704;0x707d88b227b2;0x707d88afcafd;0x707d88ad58f8;0x707d88b146d2;cuInit;init();_dl_init;_dl_start_user;|0xffffffffffffff80;0xffffffffbbeed087;0xffffffffc2af367b;0xffffffffc2afb992;0xffffffffc2b405bd;0xffffffffc2b40f34;0xffffffffc2b3d7fe;0xffffffffc2afd9e3;0xffffffffc2affc93;0xffffffffc2ae5350;0xffffffffc2ae7837;0xffffffffc2aedef0;0xffffffffc2ae92b3;0xffffffffc2ad0867;0xffffffffc2ad14cb;0xffffffffc2ad15ba;0xffffffffbb1dde74;0xffffffffbac83f9e;0xffffffffbbed678e;0xffffffffbaa0012b;0xfffffffffffffe00;ioctl;0x707d88c54704;0x707d88b227b2;0x707d88afcafd;0x707d88ad58f8;0x707d88b146d2;cuInit;init();_dl_init;_dl_start_user;|, 35.689235, 40.00, 26.689000
2025-11-25T20:13:17.749835Z, 0xffffffffffffff80;0xffffffffc171e0b4;0xffffffffc1755710;0xffffffffc1880ded;0xffffffffc18931bf;0xffffffffc18d5ed9;0xffffffffc18dcb1e;0xffffffffc1858482;0xffffffffc1858ed9;0xffffffffc18590df;0xffffffffc1858e44;0xffffffffc186ee5b;0xffffffffc152d8ca;0xffffffffc2afd632;0xffffffffc2affc93;0xffffffffc2ae5350;0xffffffffc2ae7837;0xffffffffc2aedef0;0xffffffffc2ae92b3;0xffffffffc2ad0867;0xffffffffc2ad14cb;0xffffffffc2ad15ba;0xffffffffbb1dde74;0xffffffffbac83f9e;0xffffffffbbed678e;0xffffffffbaa0012b;0xfffffffffffffe00;ioctl;0x707d88c54704;0x707d88b227b2;0x707d88afcafd;0x707d88ad58f8;0x707d88b146d2;cuInit;init();_dl_init;_dl_start_user;|0xffffffffffffff80;0xffffffffc175368a;0xffffffffc1755710;0xffffffffc1880ded;0xffffffffc1893554;0xffffffffc1700f9a;0xffffffffc17049a1;0xffffffffc156d36c;0xffffffffc156d562;0xffffffffc18cf78a;0xffffffffc184f0c7;0xffffffffc18d4a7a;0xffffffffc184e25b;0xffffffffc18d8284;0xffffffffc184ed70;0xffffffffc184f2d5;0xffffffffc184eb2a;0xffffffffc186ea6f;0xffffffffc152d8ca;0xffffffffc2afd632;0xffffffffc2affc93;0xffffffffc2ae5350;0xffffffffc2ae7837;0xffffffffc2aedef0;0xffffffffc2ae92b3;0xffffffffc2ad0867;0xffffffffc2ad14cb;0xffffffffc2ad15ba;0xffffffffbb1dde74;0xffffffffbac83f9e;0xffffffffbbed678e;0xffffffffbaa0012b;0xfffffffffffffe00;ioctl;0x707d88c54704;0x707d88b227b2;0x707d88afcafd;0x707d88ad58f8;0x707d88b146d2;cuInit;init();_dl_init;_dl_start_user;|, 30.277489, 250.00, 26.689000
2025-11-25T20:13:17.755059Z, , 28.069472, 500.00, 26.689000
2025-11-25T20:13:17.760656Z, 0xffffffffffffff80;0xffffffffbadd6636;0xffffffffbbee4108;0xffffffffbbee4709;0xffffffffc2acd268;0xffffffffc2b405cd;0xffffffffc2b40f34;0xffffffffc2b3d7fe;0xffffffffc2afd9e3;0xffffffffc2affc93;0xffffffffc2ae5350;0xffffffffc2ae7837;0xffffffffc2aedef0;0xffffffffc2ae92b3;0xffffffffc2ad0867;0xffffffffc2ad14cb;0xffffffffc2ad15ba;0xffffffffbb1dde74;0xffffffffbac83f9e;0xffffffffbbed678e;0xffffffffbaa0012b;0xfffffffffffffe00;ioctl;0x707d88c54704;0x707d88b227b2;0x707d88afcafd;0x707d88ad58f8;0x707d88b146d2;cuInit;init();_dl_init;_dl_start_user;|, 22.899889, 600.00, 26.689000
2025-11-25T20:13:17.765851Z, , 24.687295, 0.00, 26.689000
2025-11-25T20:13:17.772681Z, 0xfffffffffffffe00;pthread_mutex_unlock@@GLIBC_2.2.5;0x707d881736cf;0x707d8817bcf2;0x707d881330c2;0x707d8810594e;cuptiActivityEnable;init();_dl_init;_dl_start_user;|0xffffffffffffff80;0xffffffffbb0f1a58;0xffffffffbb0f2229;0xffffffffbad55662;0xffffffffbbedd385;0xffffffffbaa00bb7;0xfffffffffffffe00;PyObject_Malloc;0x5a6602;PyUnicode_InternFromString;PyDescr_NewMember;0x593d07;0x597ba7;_PyStructSequence_NewType;0x632f69;PyModule_ExecDef;0x5fcd97;0x581982;_PyEval_EvalFrameDefault;0x54a0c7;PyObject_CallMethodObjArgs;PyImport_ImportModuleLevelObject;_PyEval_EvalFrameDefault;PyEval_EvalCode;0x5d2bac;0x5818ed;PyObject_Vectorcall;_PyEval_EvalFrameDefault;0x54a0c7;PyObject_CallMethodObjArgs;PyImport_ImportModuleLevelObject;_PyEval_EvalFrameDefault;PyObject_CallMethod;0x6a7b47;0x6afdac;0x6afcf4;Py_InitializeFromConfig;0x6bbb15;0x6bba45;Py_BytesMain;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|, 18.113233, 100.00, 26.689000
2025-11-25T20:13:17.779257Z, 0xfffffffffffffe00;0x572010;_PyDict_GetItem_KnownHash;0x59bce4;0x599f00;0x707d8e4a996d;0x5994d7;_PyObject_MakeTpCall;0x5d1fdb;0x5818ed;PyObject_Vectorcall;_PyEval_EvalFrameDefault;PyEval_EvalCode;0x5d2bac;0x5818ed;_PyEval_EvalFrameDefault;0x54a0c7;PyObject_CallMethodObjArgs;PyImport_ImportModuleLevelObject;_PyEval_EvalFrameDefault;PyEval_EvalCode;0x5d2bac;0x5818ed;_PyEval_EvalFrameDefault;0x54a0c7;PyObject_CallMethodObjArgs;PyImport_ImportModuleLevelObject;_PyEval_EvalFrameDefault;PyEval_EvalCode;0x607fc2;0x6b4393;_PyRun_SimpleFileObject;_PyRun_AnyFileObject;Py_RunMain;Py_BytesMain;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|, 44.799993, 200.00, 26.689000
2025-11-25T20:13:17.786225Z, 0xfffffffffffffe00;0x6051fc;0x6054be;0x605b5d;PyObject_CallFunction;0x5c9b43;0x68cd81;0x690ec0;PyModule_ExecDef;0x5fcd97;0x581982;_PyEval_EvalFrameDefault;0x54a0c7;PyObject_CallMethodObjArgs;PyImport_ImportModuleLevelObject;_PyEval_EvalFrameDefault;PyEval_EvalCode;0x5d2bac;0x5818ed;_PyEval_EvalFrameDefault;0x54a0c7;PyObject_CallMethodObjArgs;PyImport_ImportModuleLevelObject;_PyEval_EvalFrameDefault;PyEval_EvalCode;0x5d2bac;0x5818ed;_PyEval_EvalFrameDefault;0x54a0c7;PyObject_CallMethodObjArgs;PyImport_ImportModuleLevelObject;_PyEval_EvalFrameDefault;PyEval_EvalCode;0x5d2bac;0x5818ed;_PyEval_EvalFrameDefault;0x54a0c7;PyObject_CallMethodObjArgs;PyImport_ImportModuleLevelObject;_PyEval_EvalFrameDefault;PyEval_EvalCode;0x607fc2;0x6b4393;_PyRun_SimpleFileObject;_PyRun_AnyFileObject;Py_RunMain;Py_BytesMain;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|, 28.626352, 200.00, 26.689000
2025-11-25T20:13:17.792545Z, 0xfffffffffffffe00;0x61d040;0x559a2d;0x61c23e;0x61bbc1;0x5fba23;_PyEval_EvalFrameDefault;0x54a0c7;PyObject_CallMethodObjArgs;PyImport_ImportModuleLevelObject;_PyEval_EvalFrameDefault;PyEval_EvalCode;0x5d2bac;0x5818ed;_PyEval_EvalFrameDefault;0x54a0c7;PyObject_CallMethodObjArgs;PyImport_ImportModuleLevelObject;_PyEval_EvalFrameDefault;PyEval_EvalCode;0x607fc2;0x6b4393;_PyRun_SimpleFileObject;_PyRun_AnyFileObject;Py_RunMain;Py_BytesMain;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|, 28.116506, 300.00, 26.689000
2025-11-25T20:13:17.797759Z, ¢6H, 28.799575, 300.00, 26.689000
